lat_bnds,lon_bnds,Aerosol_Optical_Depth(Land),Average_Temperature,Relative_humidity,PM2.5
-80.0,-174.0,0.823323568517534,245.90105,81.75,8.289455112161532e-10
-80.0,-173.0,0.823323568517534,245.1493,76.25,8.301183100435462e-10
-80.0,-172.0,0.823323568517534,242.25781,75.1,8.886737604675541e-10
-80.0,-171.0,0.823323568517534,244.84375,78.5,8.820786352574424e-10
-80.0,-170.0,0.823323568517534,247.58203,82.5,8.787365042165335e-10
-80.0,-169.0,0.823323568517534,248.03125,80.833336,9.267681604569491e-10
-80.0,-168.0,0.823323568517534,244.025,81.375,9.311995801003871e-10
-80.0,-167.0,0.823323568517534,245.34375,80.0,9.184782465664967e-10
-80.0,-166.0,0.823323568517534,245.6875,82.5,9.311381635177355e-10
-80.0,-165.0,0.823323568517534,246.75447,66.75,9.479896315201402e-10
-80.0,-164.0,0.823323568517534,245.16406,59.5,9.436353131335362e-10
-80.0,-163.0,0.823323568517534,244.0625,65.5,9.436353131335362e-10
-80.0,-162.0,0.823323568517534,236.07292,67.0,9.792684274007178e-10
-80.0,-161.0,0.823323568517534,238.75,67.0,1.0089334785277915e-09
-80.0,-159.0,0.823323568517534,239.96875,69.0,9.900229386432883e-10
-80.0,-158.0,0.823323568517534,236.98438,71.0,1.0054811540796454e-09
-80.0,-157.0,0.823323568517534,243.89583,70.25,1.0329449106596804e-09
-80.0,-156.0,0.823323568517534,243.29375,67.625,1.030843914418129e-09
-80.0,-155.0,0.823323568517534,244.59375,72.75,1.0254911775970906e-09
-80.0,-154.0,0.823323568517534,246.875,71.5,1.0339385827872638e-09
-80.0,-152.0,0.823323568517534,243.70833,83.25,1.025878138635214e-09
-80.0,-151.0,0.823323568517534,245.28125,83.25,1.0397264226009547e-09
-80.0,-150.0,0.823323568517534,246.875,90.5,1.062711378407803e-09
-80.0,-149.0,0.823323568517534,245.90625,85.5,1.0925089361750027e-09
-80.0,-76.0,0.823323568517534,251.3125,56.0625,5.55936477717772e-10
-80.0,-75.0,0.823323568517534,248.79167,62.916668,5.370820591713344e-10
-80.0,-74.0,0.823323568517534,247.97545,60.6875,5.277377301106504e-10
-80.0,-73.0,0.823323568517534,247.9668,62.32143,5.277377301106504e-10
-80.0,-72.0,0.823323568517534,250.4566,73.5,5.271162513304782e-10
-80.0,-71.0,0.823323568517534,252.31836,61.11111,5.334920660308311e-10
-80.0,-70.0,0.823323568517534,250.10547,67.666664,5.356185718184147e-10
-80.0,-69.0,0.823323568517534,253.5673,55.875,5.421669950844195e-10
-80.0,-68.0,0.823323568517534,254.3177,61.410713,5.42582548051697e-10
-80.0,-67.0,0.823323568517534,254.55882,68.75,5.355339422884492e-10
-80.0,-66.0,0.823323568517534,250.7076,71.875,5.36028520817193e-10
-80.0,-65.0,0.823323568517534,248.69853,71.333336,5.387046759588115e-10
-80.0,-64.0,0.823323568517534,251.0297,66.30556,5.497842162759128e-10
-80.0,-63.0,0.823323568517534,250.58594,74.318184,5.486278138253336e-10
-80.0,-62.0,0.823323568517534,251.84647,66.575,5.461121050454788e-10
-80.0,-61.0,0.823323568517534,253.39137,63.75,5.492890811518779e-10
-80.0,-60.0,0.823323568517534,253.075,67.954544,5.553970379322919e-10
-80.0,-59.0,0.823323568517534,250.69792,65.6875,5.708242115728251e-10
-80.0,-58.0,0.823323568517534,248.24374,76.825,5.736919561001877e-10
-80.0,-57.0,0.823323568517534,251.37317,67.40909,5.801408542792436e-10
-80.0,-56.0,0.823323568517534,251.00694,71.32143,6.012564116174251e-10
-80.0,-55.0,0.823323568517534,251.59822,79.0625,6.118827466720345e-10
-80.0,-54.0,0.823323568517534,252.52557,75.583336,6.34863460859308e-10
-80.0,-53.0,0.823323568517534,254.28542,68.2,6.383313140139303e-10
-80.0,-52.0,0.823323568517534,253.225,70.1875,6.49937882488258e-10
-80.0,-51.0,0.823323568517534,257.4453,81.0,6.720298614498676e-10
-80.0,-46.0,0.823323568517534,235.28125,83.0,6.909067083308834e-10
-80.0,-45.0,0.823323568517534,234.14583,71.875,7.010895970563091e-10
-80.0,-44.0,0.823323568517534,233.90625,72.375,7.074694837204788e-10
-80.0,-43.0,0.823323568517534,233.9375,79.25,7.098609089643487e-10
-80.0,-42.0,0.823323568517534,249.86874,71.78125,7.116101117174252e-10
-80.0,-41.0,0.823323568517534,252.95673,68.916664,7.769652984867442e-10
-80.0,-40.0,0.823323568517534,249.91016,67.375,8.052989372605911e-10
-80.0,-39.0,0.823323568517534,251.90625,69.21429,8.13456683526322e-10
-80.0,-38.0,0.823323568517534,250.36719,71.375,8.15188872940419e-10
-80.0,-37.0,0.823323568517534,252.54688,74.5,8.715915933348849e-10
-80.0,-36.0,0.823323568517534,251.87216,76.8125,9.303263694355145e-10
-80.0,-35.0,0.823323568517534,250.68402,60.5,9.303263694355145e-10
-80.0,-34.0,0.823323568517534,250.9948,60.75,9.45937972468597e-10
-80.0,-33.0,0.823323568517534,251.68124,54.357143,9.553129843231258e-10
-80.0,-32.0,0.823323568517534,250.89453,57.6875,9.676687939299382e-10
-80.0,-31.0,0.823323568517534,250.85417,63.541668,9.825825839350426e-10
-80.0,-30.0,0.823323568517534,247.41667,84.333336,9.61343845569938e-10
-80.0,-29.0,0.823323568517534,238.71875,78.75,8.62725490232979e-10
-80.0,161.0,0.823323568517534,246.01562,79.9,6.650529752635896e-10
-80.0,162.0,0.823323568517534,245.83984,69.84091,6.645236411179211e-10
-80.0,163.0,0.823323568517534,248.19952,68.3125,6.57112013531382e-10
-80.0,164.0,0.823323568517534,247.79427,70.828125,6.991038174241773e-10
-80.0,165.0,0.823323568517534,248.07422,71.21875,7.005207699269111e-10
-80.0,166.0,0.823323568517534,244.42308,66.40278,7.005207699269111e-10
-80.0,167.0,0.823323568517534,244.6317,69.479164,7.00533211526956e-10
-80.0,168.0,0.823323568517534,244.9875,67.89286,8.256533808767726e-10
-80.0,169.0,0.823323568517534,247.6298,72.454544,8.256533808767726e-10
-80.0,170.0,0.823323568517534,245.85625,72.545456,8.256533808767726e-10
-80.0,171.0,0.823323568517534,242.41478,72.111115,8.601471666301055e-10
-80.0,172.0,0.823323568517534,243.76137,63.159092,8.601471666301055e-10
-80.0,173.0,0.823323568517534,242.28125,67.35714,8.601471666301055e-10
